id товара;осн. артикул;цена;наличие;статус;доп. артикул;штрихкод;ррц
10241;;1302;21;;;;990;
9578;;0;0;;;;;
9082;;0;0;;;;;
9408;;0;0;;;;;
9086;;0;0;;;;;
10288;;1629;4;;;;1460;
9155;;0;0;;;;;
9553;;3052;2;;;;5892;
10245;;0;0;;;;1600;
9146;;0;0;;;;;
10312;;0;0;;;;1710;
10284;;0;0;;;;1600;
9574;;0;0;;;;;
9532;;0;0;;;;6262;
9543;;0;0;;;;4328;
9544;;0;0;;;;4072;
9542;;0;0;;;;6806;
9546;;0;0;;;;4574;
9805;;2709;4;;;;;
9575;;2689;2;;;;;
9573;;0;0;;;;;
9562;;0;0;;;;5268;
9556;;0;0;;;;5206;
10243;;1198;5;;;;960;
10274;;1775;1;;;;1610;
9803;;2709;3;;;;;
9784;;0;0;;;;;
10037;;3779;19;;;;;
10057;;0;0;;;;;
10237;;1177;3;;;;1000;
10071;;3332;15;;;;;
10282;;0;0;;;;1600;
10249;;1442;4;;;;1520;
10239;;1869;1;;;;1600;
10242;;0;0;;;;1590;
10240;;2159;1;;;;1590;
10247;;0;0;;;;2420;
10277;;1775;4;;;;1590;
10283;;1775;1;;;;1610;
5455;;2614;1;;;;;
11924;;0;0;;;;;
17018;;0;0;;;;;
12289;;0;0;;;;;
18539;;496;1;;;;;
15211;;2071;2;;;;;
11993;;0;0;;;;;
15092;;0;0;;;;;
10850;;0;0;;;;;
14930;;907;1;;;;;
17505;;6044;1;;;;6300;
12004;;5471;1;;;;;
12618;;4048;1;;;;;
24794;;2481;1;;;;;
17079;;0;0;;;;;
14223;;0;0;;;;;
19892;;516;1;;;;;
13988;;4293;2;;;;;
14071;;0;0;;;;;
15025;;0;0;;;;;
13984;;0;0;;;;;
10320;;307;2;;;;;
21738;;725;1;;;;;
11665;;0;0;;;;;
14162;;0;0;;;;;
12072;;0;0;;;;;
11836;;0;0;;;;;
11990;;0;0;;;;;
12506;;0;0;;;;;
11835;;0;0;;;;;
11642;;2938;2;;;;;
10319;;272;3;;;;;
10317;;0;0;;;;;
10316;;272;10;;;;;
24581;;0;0;;;;;
10318;;259;5;;;;;
